Artículo,Descripción,P.V.P.,Ubicación
100502,"MACHON REDUCIDO 1"" M -3/4 "" M ( LATON)","3,0825",1-23-4
100803,MODULO GRIFOS C/PALANCAS M-2020,"49,5",
101201,"JUNTA METAL-BUNA BSP 1/4""","0,18",4-183-1
101203,"JUNTA METAL-BUNA BSP 1/2""","0,3",4-55-2
101608,REGULADOR DE PRESION M.180 HEMBRA-MACHO,"130,5",1-18-1
10401001,PINTURA VERDE S/M LACAPOL D/D TWING SP,"13,1",
106419,"RAC. RECTO PORTAMANG. P/TUERCA 1"" D-19","1,08",ALT 4-36-1 Y 4-90-2
116640,"RAC. CURVO PORTAMANG. P/TUERCA 1"" 1/2 D-40","2,38",ALT 4-45
12275307,RETEN 27X53X7 D/L CILINDRO BOMBA,"1,0203",3-19
12355510,RETEN 35X55X10 DOBLE LABIO,"2,35",3-18
12358010,RETEN 35X80X10 DOBLE LABIO,"3,168",3  /   102-1
12456510,RETEN 45X65X10 DOBLE LABIO,3,3  /   104-3
12458010,RETEN 45X80X10 DOBLE LABIO,"8,6082",3  /   114-2
13000038,JUNTA VA-RING D-38 (MULTIPLICADOR ML),"0,85",6-187-1
13203005,COLLARIN NBR 21-30-5 VÁLVULA PRESIÓN,"3,175",4-92-1
144.504.8,"FILTRO LINEA 150 L/MIN G 3/4"" 40 MESH  AUTOLIMP.",57,17-23 *
15106208,ROD. RIGIDO DE BOLAS 6208-2RS CX,"10,25",3 / 113
15106307,ROD. RIGIDO DE BOLAS 6307.C3 FAG,"18,68",4/126
15106309,ROD. RIGIDO DE BOLAS 6309.C3 FAG,"35,6",4/127
15106407.3,ROD. RIGIDO DE BOLAS 6407.C3 FAG,"68,915",4/128
15200207.2,ROD. CIL.RODILLOS NJ-207  CX,"14,6",3-61
15200307.1,ROD. CIL.RODILLOS NJ-307 ISB,47,
15200307.2,ROD. CIL.RODILLOS NJ-307 CX,23,3-22
15202207.2,ROD. CIL.RODILLOS NJ-2207  CX,"24,75",3-80
172121725,JUNTA TORICA 12X17X2.5 PISTON BOMBA ML,"0,102",3-7-1
172141925,JUNTA TORICA 14X19X2.5 PISTON BOMBA D-60,"0,1404",3-23
172182403,JUNTA TORICA 18x24x3 CODO RETORNO,"0,294",4-90-1
172253025,JUNTA TORICA 25X30X2.5,"0,1585",4-92-2
172303525,JUNTA TORICA 30X35X2.5,"0,32",4-292-2
172323602,JUNTA TORICA 32X36X2  (MANDO PRESION NUEVO),"0,1973",4-91-1
172323935,JUNTA TORICA 32X39X3.5,"0,2155",3  /   111-4
172344135,JUNTA TORICA 34X41X3.5 TAPON FILTRO,"0,43",3-15-2
172445135,JUNTA TORICA 44X51X3.5 TAPON CULATIN ML,"0,32",3-39-1
172939825,JUNTA TORICA 93x98x2.5 TAPA LAT. BP,"0,455",3-1-1
200060,"TUERCA P/RACORD 1""1/2","1,32",ALT 4-5-2
272001,ACEITE ENGRANAJES INDUSTRIALES ISO 150 (SAE 40) (BIDON 1000 L),2070,
290310,EMBRAGUE D-920/820 ,"181,44",20-44 *
290311,NUCLEO EMBRAGUE VENTILADOR ML,"29,03",20-44 *
290312,ZAPATA EMBRAGUE VENTILADOR ML,"56,12",20-44 *
290313,MUELLE ZAPATA EMBRAGUE VENTILADOR ML,"1,5",
290320,TAPON GUARDAPOLVO 13x5 NEGRO TC15N HELICE,"0,075",
290410.1,NUCLEO HELICE VENTILADOR ML,"286,29",20-8 *
290411,CAMISA NÚCLEO HÉLICE VENTILADOR ML,"33,64",
291305,CASQUILLO SEPARADOR ROD. D-920 ML,"9,5",3  /   114-1
292104,EJE ENTRADA MULTIPLICADOR 820-920,"72,128",3  /   109
292104.1,EJE ENTRADA MULTIPLICADOR 820-920 LARGO ,"72,128",3  /   109
292108,ENGRANAJE DOBLE Z-42/44 MULTIPLICADOR 820-920,"279,85",
292109,REGISTRO SELECTOR MULTIPLICADOR 820-920,"5,256",3  /   100-1
292112,CARTER CUERPO MULTIPLICADOR,"348,685",7-31
292115,EJE Z-10/Z-12 RAPIDO MULTIPLICADOR ML CORTO,"95,238",6-61 *
